description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
"Mint condition, no problem, excellent condition",1,69,Used,0,None,Black,32,iPad 1,0,10526
New without box - Plastic still on iPad. Received replacement from Apple and never used since - ,0,324.9,New other (see details),1,AT&T,Black,32,iPad 4,0,11790
NEW! Only the outer shrink wrap was removed. Includes all original accessories and manual.,0,544.49,New other (see details),0,None,Black,32,iPad 4,0,11273
No defects.  Comes in a portfolio case which has protected device.  Has minimal scratches on edges,0,175,Used,Unknown,Unknown,Black,32,iPad 2,1,11158
"NO RESERVE - Works great, factory reset, has an extremely light and thin surface scratch on the ",1,99.97,Used,1,AT&T,Space Gray,32,iPad mini 2,1,10736
No scratches or dents. Screen protector and case has been on since day one of opening. Smart Cover ,1,149.99,Used,0,None,Unknown,32,iPad 2,1,10646
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,32,iPad 4,1,11690
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,32,iPad mini,0,11691
"Note: Frame is slight dented, back cover is faded",0,159.99,Used,0,None,Black,32,iPad mini,1,10870
Note: Surface scratches on the back cover,0,89.99,Used,1,AT&T,Black,32,iPad mini,1,10248
"Overall Good Condition with regular wear, dings in corners and some minor scratches on the screen.",0,159.95,Used,1,Unknown,Black,32,iPad 2,0,10071
"Overall Good Condition with regular wear, some dings in corners and minor scratches on the screen.",0,119.95,Used,0,None,Black,32,iPad 2,0,10077
"Please note that this unit is in working condition, but is locked with another Apple ID",1,179.99,For parts or not working,0,None,Unknown,32,iPad Air,0,11651
PLEASE READ DESCRIPTION BELOW,0,119.88,For parts or not working,1,Verizon,Unknown,32,iPad 4,0,11599
Please scroll down to see pictures and full description,0,52.99,For parts or not working,1,AT&T,Black,32,iPad 1,1,11727
powering on but stuck on the itunes logo,1,0.99,For parts or not working,0,None,Unknown,32,iPad 3,1,11635
"Powers up, Good Glass, LCD, Digi. All functions are working properly. Battery Used, Tested, Working ",1,50,Used,0,None,Black,32,iPad 1,1,11839
"Professionally refurbished and cleaned in excellent working condition. Units will show signs of use, ",0,215.99,Seller refurbished,0,None,White,32,iPad mini,0,11267
Rarely ever used it.,0,225,New other (see details),1,AT&T,Unknown,32,iPad 3,1,10037
"Really good condition, been in otterbox day 1. This is the iPad 4 to get!",0,325,Used,1,AT&T,Black,32,iPad 4,0,10559
Refurbished by Geek squad.,0,249,Seller refurbished,1,AT&T,White,32,iPad 4,0,11818
Scratches on screen but not too noticeable. scratches on back. Fully functional,1,100,Used,1,AT&T,Unknown,32,iPad mini,1,10662
"Screen has a couple small, unnoticeable single scratches. Largest scratch somewhat noticeable is ",1,9.99,Used,1,AT&T,Unknown,32,iPad 2,1,11353
Small chip in corner.,0,159.99,Used,1,Verizon,Unknown,32,iPad 2,0,10252
"Small crack on top left screen, nothing major",1,50,Used,0,None,Black,32,iPad 4,1,10633
Small dent in upper left corner,1,0.99,Used,0,None,Unknown,32,iPad 1,1,10450
some light scratches and/or nicks from normal daily use. iPad is fully functional.,1,59,Used,0,None,Unknown,32,iPad 1,1,10552
Still looks brand new... Kept in otterbox the entire time,0,300,Used,0,None,White,32,iPad 3,0,11387
"Tested and Working. Digitizer Flickers, Changing Colors. Minor Dent on 2 Corners. Includes a Power ",1,9.99,Used,0,None,Unknown,32,iPad 2,1,10318
The body has some light scratches and the back has some engraving. There is a ding on the top right ,0,209.99,Used,0,None,White,32,iPad 3,0,10047
The body has some scratches and there are some dings by the charging port and one on the top left ,0,209.99,Used,0,None,Unknown,32,iPad 3,0,10733
The iPad is in pretty good shape. No dents or dings. Normal wear from normal use. There are some ,1,149.99,Used,1,Verizon,Black,32,iPad 2,1,10536
The ipad won&#039;t power on. I set it on a charger for a while and nothing happened. Since I can&#039;t get ,1,15,For parts or not working,1,AT&T,Unknown,32,iPad 1,1,11598
There is a small dent at the site of the dock connector port.  Often times you have to depress the ,0,330,Used,1,AT&T,White,32,iPad 2,0,11517
There is a small scratch in the top left of the iPad and is invisible when in use and is very hard ,1,100,Used,0,None,Unknown,32,iPad mini,1,10310
This Apple iPad Air 1st Gen 32GB is in good condition with few cosmetic flaws. Comes &amp; sold as is ,1,149.99,Used,0,None,Unknown,32,iPad Air,1,10363
This iPad 3 is in great condition. It has been protected the whole time with a ZooGue case. No ,1,0.99,Used,0,None,Black,32,iPad 3,1,10729
This iPad Air is less than a year old. The 1 yr limited warranty expires July 17. It is in perfect ,0,349,Used,0,None,Unknown,32,iPad Air,0,11549
This iPad Is In Fantastic Condition. It Performs Flawlessly. Includes Accessories. See Below For ,1,264.95,Used,0,None,Black,32,iPad 4,0,10383
This iPad is in very good condition. Includes charger. Slight scratches on back and small bend near ,1,0.01,Used,0,None,Unknown,32,iPad 2,1,10781
This item has been kept in mint condition. Always used a Smart Cover and kept it in a case as well. ,1,99,Used,Unknown,Unknown,Unknown,32,iPad 3,1,11134
This item is broken and does not function. It is being sold for parts only. See pictures for ,1,224.99,For parts or not working,1,Verizon,Unknown,32,iPad 4,0,11693
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,264.99,Used,0,None,Space Gray,32,iPad mini 2,1,10101
This item is in full working condition with all necessary charging components. Components may be ,0,190.45,Used,1,AT&T,Unknown,32,iPad 2,0,11081
This item is in Good cosmetic condition. It may have long scratches and wear from regular use on the ,0,229.99,Used,1,Verizon,White,32,iPad 3,1,11026
This item is in perfect working condition with no visible wear. Delivered in original manufacturer ,0,463.26,Used,1,AT&T,White,32,iPad 3,0,10891
"This item is Used &amp; in Fair cosmetic condition - 100% Fully Functional, iCloud clear, professionally ",0,149.99,Used,0,None,White,32,iPad 2,0,11303
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, iCloud clear, ",0,141.09,Used,0,None,White,32,iPad 2,0,11327
This item is used and in acceptable condition. Minor dents on back plate and medium/moderate ,0,104.99,Used,0,None,Unknown,32,iPad 1,0,11316
THIS MINI IS IN GREAT CONDITION!!,0,429,Used,1,Verizon,Black,32,iPad mini,0,10707
This phone is in good condition with minor scratches on the housing or screen (does not affect ,0,99,Used,1,AT&T,White,32,iPad 1,0,11076
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,270,Used,1,Unknown,White,32,iPad 4,0,10164
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,92,Used,1,AT&T,White,32,iPad 1,0,11046
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,215,Used,1,AT&T,White,32,iPad 3,0,10144
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,315,Used,1,Verizon,White,32,iPad 2,0,10500
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,154,Used,1,Verizon,White,32,iPad 2,0,10518
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,229,Used,1,Verizon,White,32,iPad 3,0,11137
This TABLET is in good condition with minor scratches on the housing or screen (does not affect ,0,95,Used,0,None,White,32,iPad 1,0,11280
Those used TAB are in good condition with minor scratches on the housing or screen (when the phone ,0,198,Used,1,Verizon,White,32,iPad 1,0,10586
Touch screen issue; handset only. Please refer to the item description below. Contact us with any ,1,0.99,For parts or not working,0,None,Unknown,32,iPad 4,1,11706
Used - Good Working Condition,0,99,Used,0,None,Black,32,iPad 1,0,11345
Used Apple Ipad 64 gig 1st generation in Great working condition and 100% functional SIM card AT&amp;T ,0,110,Seller refurbished,0,None,Black,32,iPad 1,0,10471
Used Apple Ipad 64 gig 1st generation in Great working condition and 100% functional SIM card AT&amp;T ,0,119,Seller refurbished,0,None,Black,32,iPad 1,0,11202
used but always in case and has no dents or cracks.  works great with good battery life.,1,0.99,Used,1,Unknown,Black,32,iPad 1,1,10360
used but in excellent condition no scratches no ding no dent never been dropped has a zagg screen ,1,50,Used,0,None,Unknown,32,iPad mini,1,10443
USED IN MINT CONDITION,0,245,Used,1,AT&T,White,32,iPad 1,0,11152
"Used item, has signs of normal wear. see pictures or description.",1,0.99,Used,0,None,Black,32,Unknown,1,11406
"Used, but in great condition! Perfect screen and in 100&amp;#37; working condition! One major chip/crack ",0,289.99,Used,1,Verizon,White,32,iPad 2,0,11022
Used. Absolute must-have. Some signs of use. Scratches on the back of the tablet. See photos. Comes ,1,112,Used,0,None,Unknown,32,iPad 2,1,10714
Used. Absolute must-have. Some signs of use. See photos. Comes from a smoke free and pet free home. ,1,187,Used,0,None,Unknown,32,iPad Air,1,10388
USED. IN GOOD CONDITION. HAS SMALL CRACK ON TOP RIGHT CORNER. WIPED CLEAN. READY FOR USE.,1,0.99,For parts or not working,0,None,Unknown,32,iPad mini,1,11710
Used. Tested. Guaranteed to work. Physical condition grade B+ does have some light scratches and ,0,239.95,Used,0,None,Black,32,iPad 4,1,11857
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",0,199.99,Used,1,AT&T,Black,32,iPad 3,1,11807
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",1,49.99,Used,1,AT&T,Black,32,iPad 1,1,11809
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,299.98,Seller refurbished,0,None,Unknown,32,iPad Air,0,10033
Will contain light scratches and other blemishes.,0,169.99,Used,1,Verizon,Unknown,32,iPad 2,0,10739
Will have some cosmetic damage.,0,295,Used,1,Verizon,Unknown,32,iPad 4,0,10059
Will have some cosmetic damage.,0,164.99,Used,1,AT&T,Unknown,32,iPad 2,0,10235
Works great! No scratches on the screen or front. Camera is in good working condition.  The back has ,1,0.99,Used,1,AT&T,Unknown,32,iPad mini,1,11085
"works perfectly this ipad is in good conditions, but the screen goes and come, it need to be fix or ",1,0.99,Used,0,None,Black,32,iPad mini,1,10885
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,304.89,Seller refurbished,0,None,Unknown,64,iPad 4,0,10063
"*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ",0,228.59,Manufacturer refurbished,1,AT&T,Black,64,iPad 2,0,10432
2 months old in perfect condition. Still under apple warranty. Black Apple Smart Case included.,0,500,Used,0,None,Space Gray,64,iPad Air 2,1,10436
"2 x iPad Air, 5 x iPad 4 &amp; 1 x iPad 2 - None are iCloud Locked - Please Read Description",1,9.99,For parts or not working,1,AT&T,Unknown,64,iPad 3,1,11778
30 Day Warranty.  Fully functional engraved iPad 1st Generation with signs of normal wear which ,0,119.99,Used,1,AT&T,Black,64,iPad 1,0,11861
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,155,Used,1,Verizon,White,64,iPad 2,0,10596
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,320,Used,1,Unknown,White,64,iPad 4,0,10111
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,195,Used,0,None,White,64,iPad 2,0,10522
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,193,Used,1,Verizon,White,64,iPad 2,0,10964
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,396,Used,0,None,White,64,iPad 2,0,11198
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,393,Used,1,Verizon,White,64,iPad 2,0,11242
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,395,Used,0,None,White,64,iPad 2,0,11337
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,204,Used,0,None,White,64,iPad 2,0,11365
An item that has been restored to working order by the eBay seller or a third party not approved by ,0,480,Seller refurbished,0,None,Gold,64,iPad Air 2,0,10219
"Barely used, GREAT CONDITION!! No dents or scratches",1,220,Seller refurbished,0,None,White,64,iPad mini,0,11016
"Be advised the iPad you receive will be in fair condition, including considerable wear and scratches ",0,184.99,Used,1,AT&T,Unknown,64,iPad 2,0,10503
"Bought for one day and removed iPad plastic cover, never used. In original box with all accessories!",1,426.99,New other (see details),0,None,Gold,64,iPad mini 3,0,11121
"Brand new Ipad Mini, still in plastic wrap and box provided by hospital with cords and new unopened ",0,460,New other (see details),0,None,Space Gray,64,iPad mini 3,0,11014
"Brand new, opened it but realized I don&#039;t need it. Purchased at best buy and still have the receipt ",1,350,New other (see details),0,None,Unknown,64,iPad Air 2,1,11129
broken,0,69.69,For parts or not working,0,None,Unknown,64,iPad 3,1,11596
But in excellent condition. with 2 new cases and zagg keyboard 7 color&#039;s and screen on it! with Free ,0,387.45,Used,0,None,Black,64,iPad mini,0,10679
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,360.24,Seller refurbished,1,Verizon,White,64,iPad Air,0,11374
Cracked screen,1,1,For parts or not working,0,None,Unknown,64,iPad Air 2,1,11688
"Definite must-have. This Apple iPad Mini is pre-owned and has some signs of use, there is a nick/ ",1,199,Used,1,AT&T,Unknown,64,iPad mini,0,11072
"Definite must-have. This Apple iPad Mini is pre-owned and has some signs of use, there is a nick/ ",1,199,Used,1,AT&T,Unknown,64,iPad mini,0,11092
Excellent Condition,0,220,Used,0,None,Unknown,64,iPad 2,0,11410
Excellent condition see pictures.,1,80,Used,1,AT&T,Black,64,iPad 1,1,10165
"Excellent Condition, always has screen protector on and been in Smart Case/Cover",0,415,Used,1,Unknown,Unknown,64,iPad Air,1,10205
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,Used,0,None,White,64,iPad 1,1,10699
"Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ",1,9.99,Used,0,None,White,64,iPad 1,1,10713
Excellent condition.,0,400,Used,0,None,Unknown,64,iPad Air,0,10461
Excellent condition.,1,99,Used,1,Unknown,Space Gray,64,iPad Air,1,10965
"Excellent, see photos",0,375,Used,1,Verizon,White,64,iPad mini,0,11328
Flawless Condition(10/10) 100% functional with Flawless Retina Display. Unit is free of ,0,376,Used,1,AT&T,Black,64,iPad mini 2,0,10930
FULLY FUNCTIONAL,0,84.99,Seller refurbished,1,AT&T,Unknown,64,iPad 1,1,10027
"Fully functional, Only cracked Digitizer , Screen works great",0,399.99,For parts or not working,1,AT&T,Unknown,64,iPad Air 2,0,11682
Good,1,0.99,Used,0,None,Unknown,64,iPad 3,1,11100
Good Condition. Used. Screen has a glitter size spec on screen. Spec is barely visible when screen ,0,424.99,Used,0,None,White,64,iPad Air 2,1,11855
Grade A refurbished.  Opened / unsealed.  No cosmetic defects noted.  Consumer return.  Tested to be ,0,349.99,Manufacturer refurbished,0,None,Black,64,iPad mini 2,0,11164
Grade C  - Fully functional device and works great. No passcode lock and clean IMEI/ESN. Grade C ,0,189.99,Used,1,Verizon,Black,64,iPad 2,0,11069
Great condition had a new battery installed 3 months ago by my local Apple Store so it works like ,0,199.99,Manufacturer refurbished,1,Verizon,Black,64,iPad 2,1,10045
great shape,1,100,Used,1,Verizon,Unknown,64,iPad 4,1,10049
has a few scuffs and scratches on the front and back and something happened to sound. ringer works ,1,100,Used,1,Verizon,Unknown,64,iPad 3,1,10194
Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ,0,449.99,Used,0,None,White,64,iPad Air,0,10647
"iPad 3 gen. 64GB, white, wifi-only. Condition = good as new, very minor sign of use. No charger. ",0,299,Used,0,None,Unknown,64,iPad 3,0,10809
"iPad Air 2, Very good condition, Does not include original box, Includes Apple certified ",0,465.99,Seller refurbished,0,None,Black,64,iPad Air 2,0,10221
Ipad has been previously used and shows some light signs of use.  Some light scratches on front ,0,185,Used,0,None,Unknown,64,iPad 3,1,10031
Ipad has been previously used and shows some light signs of use.  Some light scratches on front ,0,185,Used,0,None,Unknown,64,iPad 3,1,10048
"iPad looks and works great. Screen is near mint, back and edges will  have some scuffing, scratches, ",0,239.88,Seller refurbished,0,None,Unknown,64,iPad 3,0,11178
iPad mini 2/ Retina Display/ Latest Model/ 64GB/ Wi-Fi/ Silver&amp;White . Near Mint Condition excellent ,0,350.25,Used,0,None,Unknown,64,iPad mini 2,0,10925
iPads are in great shape. Very minor cosmetic scuffs on the back. Screens are in excellent shape. ,0,99,Seller refurbished,1,AT&T,Black,64,iPad 1,0,10110
It&#039;s in good condition. There are minor scratches and discoloration for normal wear in the back. NO ,0,249,Used,1,Verizon,Black,64,iPad mini,0,10483
Item has minor screen and body scratching. Sticker on the back. Has power. Fully functional. Clean ,0,104.99,Used,1,AT&T,Unknown,64,iPad 1,0,11775
"Item in near perfect condition, without original box - comes with certified lightening cable and ",0,550,Manufacturer refurbished,1,Unknown,Unknown,64,iPad Air,0,11539
Item is fully functional it&#039;s just it won&#039;t let me connect to iTunes,1,75,For parts or not working,0,None,Unknown,64,iPad 2,1,11737
"Item is not in the original box. Shows signs of use, guaranteed to be in working condition",0,174.99,Seller refurbished,1,AT&T,White,64,iPad 2,0,10968
Item is used. Item does show signs of wear from use. There are multiple surface scratches and scuffs ,0,189,Used,0,None,Unknown,64,iPad 2,0,10216
Lightly used. The ipad has spent most of its time protected by an Otterbox while in storage. Works ,1,150,Used,1,Unknown,White,64,iPad 3,1,10696
like brand new,1,300,Used,0,None,Unknown,64,iPad 3,0,10900
Like New!!!,1,9.5,Used,0,None,Unknown,64,iPad 1,1,10419
Like new. Was never really used. A few scratches on the back.,1,185,Seller refurbished,0,None,Unknown,64,iPad 3,1,10141
"Listed as used, because it is.Works like new, Looks like new, Excellant screen color, No scratches ",1,55,Used,1,Verizon,Black,64,iPad 1,1,10661
Looks brand new! Always been kept in a case!,1,75,Used,0,None,Unknown,64,iPad mini,1,10907
Manufacture refurbished to like new conditions. Apple warranty until September 2015,0,699.95,Manufacturer refurbished,0,None,Black,64,iPad 3,0,10601
Minor signs of use on screen and back.  Nothing that affects function.,1,0.99,Used,1,AT&T,Black,64,iPad 1,1,10712
Minor wear along lower chrome edge. Otherwise flawless. No scratches or marks on glass.,0,400,Used,0,None,Unknown,64,iPad Air,0,11576
Mint conditon + case + box.,0,509,Used,1,AT&T,Unknown,64,iPad Air 2,0,11798
New condition 10/10 no blemishes.,0,475,Used,0,None,Gold,64,iPad Air 2,1,10544
New Open Box,0,259.99,New other (see details),1,Sprint,Black,64,iPad mini,1,10693
"New Open Box, see pics and description below",0,469.99,New other (see details),1,Unknown,Space Gray,64,iPad mini 3,0,10668
"new, open box",0,404.99,New other (see details),0,None,Black,64,iPad Air,0,10197
no scratches or cosmetic defects,1,100,Used,0,None,White,64,iPad mini,1,10437
"only a few months old, a few scratches",0,295,Used,0,None,Unknown,64,iPad mini 2,1,11513
Open Box Excellent Condition .. All original accessories included in its original box.,0,489.99,New other (see details),0,None,Unknown,64,iPad Air 2,0,10096
Open Box Units Grade A Condition. Units may contain minor cosmetic imperfections.,0,499.95,New other (see details),0,None,White,64,iPad Air 2,0,10044
"Overall excellent condition, very minor signs of use.",0,449.95,Used,1,Unknown,Gold,64,iPad mini 3,0,10924
"Overall very good condition, minor scratches on the front and back.",0,549.95,Used,1,Unknown,Space Gray,64,iPad Air 2,0,11136
"Perfect working condition, kept in Otterbox Defender case since day 1. Please see photos for ",0,290,Used,1,Verizon,Space Gray,64,iPad mini,0,11429
"Perfectly good iPad 64gb 1st Generation. Works great, no cracks just a few scratches on the back. ",1,75,Seller refurbished,0,None,Unknown,64,iPad 1,0,10581
PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ,1,40,For parts or not working,0,None,Unknown,64,iPad 2,1,11646
PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ,1,40,For parts or not working,0,None,Unknown,64,iPad 2,1,11667
Please scroll down to see pictures and full description,0,54.99,For parts or not working,1,AT&T,Black,64,iPad 1,1,11676
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,0,None,Unknown,64,iPad 2,1,10062
"Pristine condition, comes with a case and stylus.",1,20,Used,0,None,Unknown,64,iPad 1,0,10283
Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ,0,314.99,Seller refurbished,0,None,Black,64,iPad 3,0,11301
"Sale includes 64GB WiFi + 4G (for Verizon) Apple iPad Air 1st Gen, original Apple Lightning-to-USB ",0,449.99,Used,1,Verizon,Unknown,64,iPad Air,0,11123
Screen has had a protector on it since date of purchase.  iPad will be shipped with screen protector ,1,250,Used,1,Verizon,Black,64,iPad 3,1,10289
Some minor to moderate signs of use ranging from light scratches to heavy wear and tear.,0,389.99,Used,1,T-Mobile,Unknown,64,iPad Air,0,10985
Some sighs of light wear tiny scratches,0,375,Used,1,Verizon,Unknown,64,iPad 4,1,10332
"Stopped charging a few years ago, took to apple and they said the connector pin inside the ipad is ",1,0.99,For parts or not working,1,Unknown,Black,64,iPad 1,1,11621
Tablet is in GREAT condition! The screen is free of scratches. The case has a few light scuffs. ,0,360,Used,0,None,Black,64,iPad Air,0,10889
The Apple iPad is in good condition. The ESN is good on the tablet.,0,429.99,Used,1,AT&T,Space Gray,64,iPad Air,0,11012
The Apple iPad is in great condition.,0,499.99,Used,0,None,Gold,64,iPad Air 2,1,11225
"The display doesn&#039;t work, will need a new screen, SOLD AS IS, price reflected.  Being that it&#039;s sold ",1,49.99,For parts or not working,0,None,Black,64,iPad 1,1,11680
"This a used Apple iPad 2 64GB, Wi-Fi, 9.7in - White (MC991LL/A) shows signs of wear, has been ",1,0.99,Used,0,None,White,64,iPad 2,1,10617
"This Apple iPad was cherished by its previous owner and has some signs of use, there are faint ",1,78,Used,1,AT&T,Unknown,64,iPad 1,1,10275
"This iPad Air is in EXCELLENT to LIKE NEW condition!   Included is the iPad Air 2, retail box, ",0,499,Used,1,Verizon,Gold,64,iPad Air 2,0,10565
This iPad has been converted from 3G capable to WIFI ONLY.,0,150,Used,0,None,Black,64,iPad 2,0,10851
This iPad is in excellent condition. It has never been dropped or had water on it. A screen ,0,300,Used,Unknown,Unknown,Unknown,64,iPad 3,0,11133
this ipad is in mint mint condition! was actuuly almost never used was just open and sealed was ,0,439,Used,0,None,Unknown,64,iPad Air,0,10883
"This iPad is new but open box. Exterior plastic wrap is off, interior wrap on iPad is off.",0,550,New other (see details),1,Unknown,Gold,64,iPad mini 3,0,11215
This iPad mini is in very nice condition.,1,0.99,Used,1,Unknown,Space Gray,64,iPad mini,1,11122
This is a Seller refurbished item and will show signs of cosmetic use. The unit will be 100% working ,1,0.99,Seller refurbished,0,None,White,64,iPad 3,1,10579
"This is a used iPad, and has a few minor scratches on the front as well as back. There are no cracks ",0,174.99,Used,1,AT&T,Black,64,iPad 2,1,10918
"This is in excellent condition, only mark is on back, where a name has been etched and etch has been ",0,275,Seller refurbished,0,None,White,64,iPad 3,1,10896
This item is an open box unit. The iPad does not show any signs of use. It includes the original ,0,525,New other (see details),0,None,White,64,iPad Air 2,0,10911
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ,0,249.99,Used,1,AT&T,White,64,iPad mini,1,10872
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,199.99,Used,0,None,Black,64,iPad 2,0,10282
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ,0,239.99,Used,1,Verizon,White,64,iPad mini,1,10799
This item is in Heavily Used cosmetic condition. Brand New Scratch-Free Screen! 100% Fully ,0,208.99,Used,0,None,Black,64,iPad mini,0,10622
This phone is in good condition with minor scratches on the housing or screen (does not affect ,0,101,Used,1,AT&T,White,64,iPad 1,0,11082
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,295,Used,1,Unknown,White,64,iPad 4,0,10104
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10188
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10212
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,310,Used,1,Unknown,White,64,iPad 4,0,10426
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,299,Used,1,Unknown,White,64,iPad 4,0,10847
"This unit has minor scratches on case and several small scratches on the display. It is in ",0,89,Seller refurbished,0,None,Black,64,iPad 1,1,11860
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,179,Used,0,None,White,64,iPad 2,0,11261
USED BUT EXCELLENT CONDITION,0,210,Used,0,None,White,64,iPad 2,1,10515
used but works great and outer condition great,1,50,Used,Unknown,Unknown,Unknown,64,iPad 1,1,10697
"Used in Excellent Condition. Included AC Power Adapter, USB Cable No Original Box.",0,299.95,Used,Unknown,Unknown,White,64,iPad mini,0,11147
"Used only 1 month, like new condition, include smart case and all accessories",0,480,Used,0,None,Unknown,64,iPad Air 2,0,10036
"Used, been in case and screen protector since day 1. Literally flawless!",1,299,Used,1,Unknown,Unknown,64,iPad mini 2,1,10636
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ",1,149.99,Used,1,Verizon,Black,64,iPad 2,1,11810
Very clean,1,0.99,Used,0,None,White,64,iPad 2,1,10863
Virtually flawless. In case from Day 1. No visible defects or scratches,0,385,Used,1,Verizon,White,64,iPad mini 2,1,11319
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,169.98,Seller refurbished,1,AT&T,Black,64,iPad 2,0,10088
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,109.98,Seller refurbished,1,AT&T,Unknown,64,iPad 1,0,10317
Will have some cosmetic damage.,0,344,Used,0,None,Unknown,64,iPad 4,0,10126
"Without retail box, charger included. No manual included.  Customer or Carrier Return in New-Other ",0,298,New other (see details),1,AT&T,Black,64,iPad 3,0,11813
WORK PERFECT SOME DINGS PLEASE REFER TO ALL PICTURES....,1,100,Used,0,None,Black,64,iPad 3,1,10740
"WORKING! Cracked screen and dented corners, see photos",1,92,For parts or not working,0,None,Unknown,64,iPad 2,1,11650
"Working.  Tested buttons, wifi, sound, camera, touch. Scratched case. Light scratches on lcd. Dust ",0,300,Used,1,AT&T,Space Gray,64,iPad Air,0,10587
Works great -- One owner,0,249.99,Used,0,None,Black,64,iPad 3,0,10765
Works perfectly a few tears in the cover. Some scratches but screen is clear,1,49.95,Used,0,None,Unknown,64,Unknown,1,10639
"Works Perfectly, Excellent Condition. Has A Screen Protector And Comes With Smart Case And A Pouch ",0,400,Used,0,None,Unknown,64,iPad Air,0,11566
"*** Like new, Apple iPad Air 2 Gold 128GB. Comes with AC adapter and lightning cable.",0,619.99,Seller refurbished,0,None,Space Gray,128,iPad Air 2,0,11183
â€œâ€œâ€œCustomer or Carrier Return. Cosmetic condition is 9 of 10.â€ù NOT IN ORIGINAL BOXâ€ùâ€ù,0,389.99,New other (see details),0,None,Unknown,128,iPad Air,0,10136
2 scratches. In good condition,0,600,Used,1,AT&T,Black,128,iPad 3,0,11148
"ABSOLUTELY NO DENTS, DINGS, OR SCRATCHES.",1,1.99,Used,1,Unknown,Space Gray,128,iPad Air 2,1,10452
Adult owned,1,0.01,Used,1,Verizon,Unknown,128,iPad 4,1,10281
Brand new open retail box item. All contents are new. The ipad and accessories still have plastic on ,0,579.99,New other (see details),0,None,White,128,iPad Air,0,10865
Brand new. Bad ESN.,0,550,For parts or not working,1,Sprint,Unknown,128,iPad Air 2,0,11642
display unit,0,699,New other (see details),1,Unknown,Unknown,128,iPad Air,0,11034
Excellent Used Condition. Please see all photos and description.,1,525,Used,0,None,White,128,iPad Air 2,1,10794
Great Condition,1,1,Used,0,None,White,128,iPad Air,1,11323
In perfect condition! Not a scratch!,0,500,Used,1,AT&T,White,128,iPad Air,0,11519
In very good conditionHas speigen tempered glass preinstalled and a speigen case. It comes with ,0,430,Used,0,None,Unknown,128,iPad mini 2,0,11145
